专业	地区	学校	所在学院	贡献者学号	URL
网络与新媒体	广东省	中山大学南方学院	文学与传媒学院	999999999	http://wcy.nfu.edu.cn/a/xueyuangaikuang/zhuanyeshezhi/wangluoyuxinmeitix/
网络与新媒体	江苏省	南京大学金陵学院	传媒学院	181013036	http://cm.jlxy.nju.edu.cn/content/wangluoyuxinmeiti.aspx
网络与新媒体	广东省	西安外国语大学	新闻与传播学院	181013125	http://xwxy.xisu.edu.cn/info/1022/3323.html
网络与新媒体	福建省	宁德师范学院	语言与文化学院	181013108	http://wyx.ndnu.edu.cn/info/1051/1909.htm
网络与新媒体	广东省	中山大学新华学院	艺术设计与传媒学院	181013064	http://ysycm.xhsysu.edu.cn/info/1002/1220.htm
网络与新媒体	浙江省	浙江传媒学院	文化创意学院	172018125	http://zsw.zjicm.edu.cn/yxdh/whcyxy.htm
网络与新媒体	北京市	北京电影学院	现代创意传媒学院	181013028	http://www.bfamcmc.edu.cn/info/1063/5144.htm
网络与新媒体	云南省	云南大学	新闻学院	181013136	http://zsb.ynu.edu.cn/info/1014/1554.htm
网络与新媒体	上海市	上海外国语大学	新闻传播学院	161042150	http://admissions.shisu.edu.cn/0f/16/c643a3862/page.htm
网络与新媒体	广东省	广东技术师范大学	文学与传媒学院	161033006	http://zs.gpnu.edu.cn/wxycmxy1/wlyxmt.htm
网络与新媒体	河南省	河南工业大学	新闻与传播学院	181013104	http://xwxy.haut.edu.cn/info/1019/2229.htm
网络与新媒体	广东省	暨南大学	新闻与传播学院	161042024	https://xwxy.jnu.edu.cn/html/bks/zhuanyejianjie/2015/0923/2
网络与新媒体	浙江省	浙江大学	传媒与国际文化学院	172017487	http://www.cmic.zju.edu.cn/index
网络与新媒体	辽宁省	辽宁传媒学院	新闻与传播系	181013038	http://www.lncu.cn/xinwenchuanbo/
